epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2472.23,0.5286,0.4249,0.95624,1,0.99749,0.995,0.9274,0.40021,0.28411,0.81907,0.0009605,0.0009605,0.0009605
44,2524.85,0.5267,0.42906,0.95525,0.99936,1,0.995,0.91739,0.39967,0.27525,0.8209,0.00093575,0.00093575,0.00093575
45,2580.65,0.50243,0.41756,0.94396,0.99896,1,0.995,0.91949,0.40005,0.26062,0.81924,0.000911,0.000911,0.000911
46,2634.76,0.50953,0.4118,0.93477,0.99883,1,0.995,0.93118,0.37317,0.26497,0.80797,0.00088625,0.00088625,0.00088625
47,2687.89,0.54591,0.42885,0.96809,0.99936,1,0.995,0.92145,0.42418,0.28249,0.8205,0.0008615,0.0008615,0.0008615
48,2741.53,0.52506,0.4328,0.9568,0.99944,1,0.995,0.92722,0.39157,0.25943,0.81479,0.00083675,0.00083675,0.00083675
49,2804.84,0.48872,0.41951,0.94006,0.99951,1,0.995,0.92518,0.39476,0.26553,0.81415,0.000812,0.000812,0.000812
50,2867.23,0.50434,0.4064,0.94381,0.99811,1,0.995,0.91652,0.4385,0.29741,0.84182,0.00078725,0.00078725,0.00078725
51,2928.54,0.46657,0.3968,0.94006,0.99099,1,0.995,0.92771,0.41111,0.28568,0.82148,0.0007625,0.0007625,0.0007625
52,2980.54,0.47683,0.37431,0.92756,0.99939,1,0.995,0.93189,0.37377,0.2535,0.80511,0.00073775,0.00073775,0.00073775
53,3036.12,0.47729,0.39186,0.93527,0.99902,1,0.995,0.93603,0.3661,0.25786,0.80234,0.000713,0.000713,0.000713
54,3161.34,0.48777,0.38925,0.93926,0.99731,1,0.995,0.9364,0.36195,0.25247,0.80696,0.00068825,0.00068825,0.00068825
55,3269.28,0.49358,0.39145,0.93819,0.99961,1,0.995,0.93714,0.37001,0.25101,0.81419,0.0006635,0.0006635,0.0006635
56,3394.28,0.45619,0.3787,0.93368,0.99044,1,0.99432,0.94021,0.34464,0.23955,0.80189,0.00063875,0.00063875,0.00063875
57,3584.78,0.45737,0.38844,0.92873,0.99936,1,0.995,0.94105,0.33911,0.23198,0.79323,0.000614,0.000614,0.000614
58,3773.36,0.42536,0.38852,0.89383,0.99895,1,0.995,0.93933,0.35874,0.25151,0.79384,0.00058925,0.00058925,0.00058925
59,3963.16,0.48716,0.38034,0.93764,0.99026,1,0.995,0.94319,0.34965,0.24916,0.798,0.0005645,0.0005645,0.0005645
60,4149.71,0.46626,0.3603,0.92501,0.98303,0.99869,0.99449,0.93332,0.34403,0.23879,0.79518,0.00053975,0.00053975,0.00053975
61,4336.17,0.45983,0.36381,0.93388,0.99949,1,0.995,0.94116,0.35226,0.23301,0.79569,0.000515,0.000515,0.000515
62,4524.24,0.43475,0.35178,0.91554,0.99955,1,0.995,0.94455,0.32463,0.22402,0.79253,0.00049025,0.00049025,0.00049025
63,4711.08,0.45255,0.36184,0.92744,0.99946,1,0.995,0.94513,0.31635,0.22186,0.78491,0.0004655,0.0004655,0.0004655
64,4895.83,0.45276,0.36171,0.94349,0.99922,1,0.995,0.9451,0.33289,0.21609,0.78984,0.00044075,0.00044075,0.00044075
65,5060.89,0.43367,0.35172,0.91186,0.99942,1,0.995,0.94867,0.3291,0.22152,0.79364,0.000416,0.000416,0.000416
66,5156.66,0.44433,0.35281,0.92028,0.99942,1,0.995,0.9455,0.33644,0.22161,0.79438,0.00039125,0.00039125,0.00039125
67,5250.28,0.4353,0.36286,0.93666,0.99941,1,0.995,0.95106,0.31628,0.20935,0.7902,0.0003665,0.0003665,0.0003665
68,5427.29,0.43843,0.34655,0.91825,0.99942,1,0.995,0.95197,0.31178,0.20893,0.7897,0.00034175,0.00034175,0.00034175
69,5617.53,0.43339,0.34359,0.91334,0.99929,1,0.995,0.9472,0.31676,0.20875,0.78955,0.000317,0.000317,0.000317
70,5805.99,0.40518,0.34322,0.91272,0.99953,1,0.995,0.94613,0.32614,0.20572,0.78936,0.00029225,0.00029225,0.00029225
71,5991.99,0.32804,0.24039,0.8509,0.99937,1,0.995,0.93815,0.32231,0.21302,0.78498,0.0002675,0.0002675,0.0002675
72,6118.72,0.32795,0.24039,0.84158,0.99945,1,0.995,0.93783,0.31757,0.2095,0.78576,0.00024275,0.00024275,0.00024275
73,6212.09,0.33177,0.23608,0.8418,0.99946,1,0.995,0.94089,0.31686,0.20885,0.78518,0.000218,0.000218,0.000218
74,6316.52,0.32138,0.22568,0.83913,0.99945,1,0.995,0.94931,0.31407,0.21108,0.78042,0.00019325,0.00019325,0.00019325
75,6504.49,0.31095,0.22059,0.81834,0.99949,1,0.995,0.94852,0.31492,0.20899,0.78045,0.0001685,0.0001685,0.0001685
76,6692.99,0.31045,0.21704,0.83563,0.99949,1,0.995,0.95025,0.31284,0.20124,0.78481,0.00014375,0.00014375,0.00014375
77,6881,0.30943,0.22131,0.83629,0.99949,1,0.995,0.94805,0.31367,0.20399,0.78983,0.000119,0.000119,0.000119
78,7068.69,0.29795,0.21488,0.8337,0.99952,1,0.995,0.95094,0.31189,0.19831,0.78978,9.425e-05,9.425e-05,9.425e-05
79,7254.61,0.29979,0.20562,0.8155,0.99948,1,0.995,0.94796,0.31325,0.20325,0.78857,6.95e-05,6.95e-05,6.95e-05
80,7442.25,0.29245,0.21495,0.82891,0.99957,1,0.995,0.94832,0.31194,0.20303,0.78825,4.475e-05,4.475e-05,4.475e-05
